ekip_adi,islem_tipi,tarih,saat,talimat_adet
İstanbul Ekip,EFT,2024-01-03,16,9
Ankara Ekip,EFT,2024-01-03,16,3
Merkez Ekip,EFT,2024-01-03,17,6
İstanbul Ekip,EFT,2024-01-03,17,6
Ankara Ekip,EFT,2024-01-03,17,2
Ankara Ekip,EFT,2024-01-03,18,1
Merkez Ekip,EFT,2024-01-03,19,3
İstanbul Ekip,EFT,2024-01-03,19,2
Ankara Ekip,EFT,2024-01-03,19,1
Merkez Ekip,EFT,2024-01-03,23,6
İstanbul Ekip,EFT,2024-01-03,23,3
Ankara Ekip,EFT,2024-01-03,23,2
Ankara Ekip,EFT,2024-01-04,0,1
Merkez Ekip,EFT,2024-01-04,2,3
İstanbul Ekip,EFT,2024-01-04,2,3
İstanbul Ekip,EFT,2024-01-04,3,2
Ankara Ekip,EFT,2024-01-04,5,1
İstanbul Ekip,EFT,2024-01-04,7,2
Merkez Ekip,EFT,2024-01-04,8,4
İstanbul Ekip,EFT,2024-01-04,8,2
Ankara Ekip,EFT,2024-01-04,8,2
Merkez Ekip,EFT,2024-01-04,9,6
İstanbul Ekip,EFT,2024-01-04,9,2
Ankara Ekip,EFT,2024-01-04,9,3
Merkez Ekip,EFT,2024-01-04,10,4
İstanbul Ekip,EFT,2024-01-04,10,9
Ankara Ekip,EFT,2024-01-04,10,3
Merkez Ekip,EFT,2024-01-04,11,9
İstanbul Ekip,EFT,2024-01-04,11,4
Ankara Ekip,EFT,2024-01-04,11,5
Merkez Ekip,EFT,2024-01-04,12,4
İstanbul Ekip,EFT,2024-01-04,12,3
Ankara Ekip,EFT,2024-01-04,12,3
Merkez Ekip,EFT,2024-01-04,13,11
İstanbul Ekip,EFT,2024-01-04,13,10
Ankara Ekip,EFT,2024-01-04,13,2
Merkez Ekip,EFT,2024-01-04,14,5
İstanbul Ekip,EFT,2024-01-04,14,9
Ankara Ekip,EFT,2024-01-04,14,3
Merkez Ekip,EFT,2024-01-04,15,7
İstanbul Ekip,EFT,2024-01-04,15,5
Ankara Ekip,EFT,2024-01-04,15,3
Merkez Ekip,EFT,2024-01-04,16,6
İstanbul Ekip,EFT,2024-01-04,16,3
Ankara Ekip,EFT,2024-01-04,16,3
Merkez Ekip,EFT,2024-01-04,17,2
İstanbul Ekip,EFT,2024-01-04,17,2
İstanbul Ekip,EFT,2024-01-04,19,2
Merkez Ekip,EFT,2024-01-04,22,1
İstanbul Ekip,EFT,2024-01-04,22,1
Ankara Ekip,EFT,2024-01-04,22,1
İstanbul Ekip,EFT,2024-01-05,3,1
Merkez Ekip,EFT,2024-01-05,6,3
İstanbul Ekip,EFT,2024-01-05,6,3
Merkez Ekip,EFT,2024-01-05,7,2
Ankara Ekip,EFT,2024-01-05,7,1
Merkez Ekip,EFT,2024-01-05,8,2
İstanbul Ekip,EFT,2024-01-05,8,6
Ankara Ekip,EFT,2024-01-05,8,3
Merkez Ekip,EFT,2024-01-05,9,5
İstanbul Ekip,EFT,2024-01-05,9,3
Ankara Ekip,EFT,2024-01-05,9,3
Merkez Ekip,EFT,2024-01-05,10,2
İstanbul Ekip,EFT,2024-01-05,10,1
Ankara Ekip,EFT,2024-01-05,10,1
Merkez Ekip,EFT,2024-01-05,11,2
İstanbul Ekip,EFT,2024-01-05,11,4
Ankara Ekip,EFT,2024-01-05,11,1
Merkez Ekip,EFT,2024-01-05,12,4
İstanbul Ekip,EFT,2024-01-05,12,6
Ankara Ekip,EFT,2024-01-05,12,1
Merkez Ekip,EFT,2024-01-05,13,7
İstanbul Ekip,EFT,2024-01-05,13,6
Ankara Ekip,EFT,2024-01-05,13,4
Merkez Ekip,EFT,2024-01-05,14,3
Ankara Ekip,EFT,2024-01-05,14,2
Merkez Ekip,EFT,2024-01-05,15,3
Ankara Ekip,EFT,2024-01-05,15,2
Merkez Ekip,EFT,2024-01-05,16,1
Ankara Ekip,EFT,2024-01-05,16,1
Merkez Ekip,EFT,2024-01-05,17,8
İstanbul Ekip,EFT,2024-01-05,17,7
Ankara Ekip,EFT,2024-01-05,17,4
İstanbul Ekip,EFT,2024-01-05,18,1
Ankara Ekip,EFT,2024-01-05,18,1
Merkez Ekip,EFT,2024-01-08,0,14
İstanbul Ekip,EFT,2024-01-08,0,7
Ankara Ekip,EFT,2024-01-08,0,3
Merkez Ekip,EFT,2024-01-08,1,6
İstanbul Ekip,EFT,2024-01-08,1,2
Ankara Ekip,EFT,2024-01-08,1,2
Merkez Ekip,EFT,2024-01-08,4,2
İstanbul Ekip,EFT,2024-01-08,4,3
Merkez Ekip,EFT,2024-01-08,7,2
İstanbul Ekip,EFT,2024-01-08,7,1
Ankara Ekip,EFT,2024-01-08,7,1
Merkez Ekip,EFT,2024-01-08,8,8
Ankara Ekip,EFT,2024-01-08,8,1
Merkez Ekip,EFT,2024-01-08,9,2
İstanbul Ekip,EFT,2024-01-08,9,1
Merkez Ekip,EFT,2024-01-08,10,4
İstanbul Ekip,EFT,2024-01-08,10,1
Ankara Ekip,EFT,2024-01-08,10,3
Merkez Ekip,EFT,2024-01-08,11,17
İstanbul Ekip,EFT,2024-01-08,11,8
Ankara Ekip,EFT,2024-01-08,11,2
Merkez Ekip,EFT,2024-01-08,12,4
İstanbul Ekip,EFT,2024-01-08,12,3
Ankara Ekip,EFT,2024-01-08,12,2
Merkez Ekip,EFT,2024-01-08,13,1
İstanbul Ekip,EFT,2024-01-08,13,3
Merkez Ekip,EFT,2024-01-08,14,2
İstanbul Ekip,EFT,2024-01-08,14,3
Ankara Ekip,EFT,2024-01-08,14,1
Merkez Ekip,EFT,2024-01-08,15,17
İstanbul Ekip,EFT,2024-01-08,15,14
Merkez Ekip,EFT,2024-01-08,17,12
İstanbul Ekip,EFT,2024-01-08,17,11
Ankara Ekip,EFT,2024-01-08,17,6
Merkez Ekip,EFT,2024-01-08,18,1
İstanbul Ekip,EFT,2024-01-08,18,3
Merkez Ekip,EFT,2024-01-09,6,5
İstanbul Ekip,EFT,2024-01-09,6,2
Merkez Ekip,EFT,2024-01-09,7,1
Merkez Ekip,EFT,2024-01-09,8,24
İstanbul Ekip,EFT,2024-01-09,8,20
Ankara Ekip,EFT,2024-01-09,8,16
Merkez Ekip,EFT,2024-01-09,9,22
İstanbul Ekip,EFT,2024-01-09,9,12
Ankara Ekip,EFT,2024-01-09,9,11
Merkez Ekip,EFT,2024-01-09,10,10
İstanbul Ekip,EFT,2024-01-09,10,5
Ankara Ekip,EFT,2024-01-09,10,4
Merkez Ekip,EFT,2024-01-09,11,15
İstanbul Ekip,EFT,2024-01-09,11,6
Ankara Ekip,EFT,2024-01-09,11,5
Merkez Ekip,EFT,2024-01-09,12,11
İstanbul Ekip,EFT,2024-01-09,12,12
Ankara Ekip,EFT,2024-01-09,12,15
Merkez Ekip,EFT,2024-01-09,13,16
İstanbul Ekip,EFT,2024-01-09,13,15
Ankara Ekip,EFT,2024-01-09,13,7
Merkez Ekip,EFT,2024-01-09,14,16
İstanbul Ekip,EFT,2024-01-09,14,9
Ankara Ekip,EFT,2024-01-09,14,10
Merkez Ekip,EFT,2024-01-09,15,14
İstanbul Ekip,EFT,2024-01-09,15,14
Ankara Ekip,EFT,2024-01-09,15,4
Merkez Ekip,EFT,2024-01-09,16,18
İstanbul Ekip,EFT,2024-01-09,16,9
Ankara Ekip,EFT,2024-01-09,16,3
İstanbul Ekip,EFT,2024-01-09,18,1
Merkez Ekip,EFT,2024-01-09,19,5
İstanbul Ekip,EFT,2024-01-09,19,5
Ankara Ekip,EFT,2024-01-09,19,2
Merkez Ekip,EFT,2024-01-10,1,1
Merkez Ekip,EFT,2024-01-10,2,1
İstanbul Ekip,EFT,2024-01-10,2,1
Ankara Ekip,EFT,2024-01-10,2,2
Merkez Ekip,EFT,2024-01-10,6,5
İstanbul Ekip,EFT,2024-01-10,6,2
Ankara Ekip,EFT,2024-01-10,6,1
Merkez Ekip,EFT,2024-01-10,7,4
İstanbul Ekip,EFT,2024-01-10,7,1
Merkez Ekip,EFT,2024-01-10,8,19
İstanbul Ekip,EFT,2024-01-10,8,6
Ankara Ekip,EFT,2024-01-10,8,2
Merkez Ekip,EFT,2024-01-10,9,4
İstanbul Ekip,EFT,2024-01-10,9,6
Ankara Ekip,EFT,2024-01-10,9,4
Merkez Ekip,EFT,2024-01-10,10,17
İstanbul Ekip,EFT,2024-01-10,10,11
Ankara Ekip,EFT,2024-01-10,10,6
Merkez Ekip,EFT,2024-01-10,11,16
İstanbul Ekip,EFT,2024-01-10,11,7
Ankara Ekip,EFT,2024-01-10,11,3
Merkez Ekip,EFT,2024-01-10,12,1
İstanbul Ekip,EFT,2024-01-10,12,5
Ankara Ekip,EFT,2024-01-10,12,2
Merkez Ekip,EFT,2024-01-10,13,4
İstanbul Ekip,EFT,2024-01-10,13,2
Ankara Ekip,EFT,2024-01-10,13,2
Merkez Ekip,EFT,2024-01-10,14,13
İstanbul Ekip,EFT,2024-01-10,14,8
Ankara Ekip,EFT,2024-01-10,14,4
Merkez Ekip,EFT,2024-01-10,15,11
İstanbul Ekip,EFT,2024-01-10,15,5
Ankara Ekip,EFT,2024-01-10,15,2
Merkez Ekip,EFT,2024-01-10,16,3
İstanbul Ekip,EFT,2024-01-10,16,4
Merkez Ekip,EFT,2024-01-10,17,8
İstanbul Ekip,EFT,2024-01-10,17,5
Ankara Ekip,EFT,2024-01-10,17,3
Merkez Ekip,EFT,2024-01-10,18,6
İstanbul Ekip,EFT,2024-01-10,18,1
Ankara Ekip,EFT,2024-01-10,18,3
Merkez Ekip,EFT,2024-01-10,19,7
İstanbul Ekip,EFT,2024-01-10,19,9
Ankara Ekip,EFT,2024-01-10,19,2
Merkez Ekip,EFT,2024-01-10,22,2
İstanbul Ekip,EFT,2024-01-10,22,3
Ankara Ekip,EFT,2024-01-10,22,2
İstanbul Ekip,EFT,2024-01-10,23,1
Ankara Ekip,EFT,2024-01-10,23,1
Ankara Ekip,EFT,2024-01-11,1,2
İstanbul Ekip,EFT,2024-01-11,3,1
İstanbul Ekip,EFT,2024-01-11,5,3
Merkez Ekip,EFT,2024-01-11,6,10
İstanbul Ekip,EFT,2024-01-11,6,8
Ankara Ekip,EFT,2024-01-11,6,1
Merkez Ekip,EFT,2024-01-11,7,1
İstanbul Ekip,EFT,2024-01-11,7,1
Ankara Ekip,EFT,2024-01-11,7,3
Merkez Ekip,EFT,2024-01-11,8,14
İstanbul Ekip,EFT,2024-01-11,8,18
Ankara Ekip,EFT,2024-01-11,8,9
Merkez Ekip,EFT,2024-01-11,9,14
İstanbul Ekip,EFT,2024-01-11,9,10
Ankara Ekip,EFT,2024-01-11,9,7
Merkez Ekip,EFT,2024-01-11,10,7
İstanbul Ekip,EFT,2024-01-11,10,7
Ankara Ekip,EFT,2024-01-11,10,5
Merkez Ekip,EFT,2024-01-11,11,7
İstanbul Ekip,EFT,2024-01-11,11,7
Ankara Ekip,EFT,2024-01-11,11,7
Merkez Ekip,EFT,2024-01-11,12,14
İstanbul Ekip,EFT,2024-01-11,12,10
Ankara Ekip,EFT,2024-01-11,12,5
Merkez Ekip,EFT,2024-01-11,13,14
İstanbul Ekip,EFT,2024-01-11,13,8
Ankara Ekip,EFT,2024-01-11,13,2
Merkez Ekip,EFT,2024-01-11,14,5
İstanbul Ekip,EFT,2024-01-11,14,2
Ankara Ekip,EFT,2024-01-11,14,2
Merkez Ekip,EFT,2024-01-11,15,2
İstanbul Ekip,EFT,2024-01-11,15,10
Ankara Ekip,EFT,2024-01-11,15,1
Merkez Ekip,EFT,2024-01-11,16,2
İstanbul Ekip,EFT,2024-01-11,16,1
Ankara Ekip,EFT,2024-01-11,16,2
İstanbul Ekip,EFT,2024-01-11,17,1
Ankara Ekip,EFT,2024-01-11,17,1
Merkez Ekip,EFT,2024-01-11,19,1
İstanbul Ekip,EFT,2024-01-11,19,1
Merkez Ekip,EFT,2024-01-12,5,1
Ankara Ekip,EFT,2024-01-12,5,1
Ankara Ekip,EFT,2024-01-12,6,1
Merkez Ekip,EFT,2024-01-12,7,3
İstanbul Ekip,EFT,2024-01-12,7,14
Ankara Ekip,EFT,2024-01-12,7,3
Merkez Ekip,EFT,2024-01-12,8,10
İstanbul Ekip,EFT,2024-01-12,8,4
Ankara Ekip,EFT,2024-01-12,8,5
Merkez Ekip,EFT,2024-01-12,9,2
İstanbul Ekip,EFT,2024-01-12,9,1
Merkez Ekip,EFT,2024-01-12,10,3
İstanbul Ekip,EFT,2024-01-12,10,2
Ankara Ekip,EFT,2024-01-12,10,1
Merkez Ekip,EFT,2024-01-12,11,3
Ankara Ekip,EFT,2024-01-12,11,3
Merkez Ekip,EFT,2024-01-12,12,4
İstanbul Ekip,EFT,2024-01-12,12,5
Ankara Ekip,EFT,2024-01-12,12,3
Merkez Ekip,EFT,2024-01-12,13,12
İstanbul Ekip,EFT,2024-01-12,13,6
Ankara Ekip,EFT,2024-01-12,13,4
Merkez Ekip,EFT,2024-01-12,14,2
İstanbul Ekip,EFT,2024-01-12,14,2
Ankara Ekip,EFT,2024-01-12,14,1
Merkez Ekip,EFT,2024-01-12,15,16
İstanbul Ekip,EFT,2024-01-12,15,9
Ankara Ekip,EFT,2024-01-12,15,4
Merkez Ekip,EFT,2024-01-12,16,11
İstanbul Ekip,EFT,2024-01-12,16,8
Ankara Ekip,EFT,2024-01-12,16,5
Merkez Ekip,EFT,2024-01-12,17,1
İstanbul Ekip,EFT,2024-01-12,17,1
Ankara Ekip,EFT,2024-01-12,17,1
Merkez Ekip,EFT,2024-01-12,18,1
İstanbul Ekip,EFT,2024-01-12,18,4
İstanbul Ekip,EFT,2024-01-12,19,1
Ankara Ekip,EFT,2024-01-12,19,2
Merkez Ekip,EFT,2024-01-12,22,3
Merkez Ekip,EFT,2024-01-15,1,1
Merkez Ekip,EFT,2024-01-15,3,6
İstanbul Ekip,EFT,2024-01-15,3,3
Merkez Ekip,EFT,2024-01-15,5,3
İstanbul Ekip,EFT,2024-01-15,5,2
Ankara Ekip,EFT,2024-01-15,5,1
Merkez Ekip,EFT,2024-01-15,6,1
İstanbul Ekip,EFT,2024-01-15,6,1
Ankara Ekip,EFT,2024-01-15,6,1
Merkez Ekip,EFT,2024-01-15,7,2
İstanbul Ekip,EFT,2024-01-15,7,1
Merkez Ekip,EFT,2024-01-15,8,12
İstanbul Ekip,EFT,2024-01-15,8,6
Ankara Ekip,EFT,2024-01-15,8,3
Merkez Ekip,EFT,2024-01-15,9,4
İstanbul Ekip,EFT,2024-01-15,9,1
Ankara Ekip,EFT,2024-01-15,9,1
Merkez Ekip,EFT,2024-01-15,10,10
İstanbul Ekip,EFT,2024-01-15,10,9
Ankara Ekip,EFT,2024-01-15,10,6
Merkez Ekip,EFT,2024-01-15,11,5
İstanbul Ekip,EFT,2024-01-15,11,4
Ankara Ekip,EFT,2024-01-15,11,4
Merkez Ekip,EFT,2024-01-15,12,22
İstanbul Ekip,EFT,2024-01-15,12,19
Ankara Ekip,EFT,2024-01-15,12,14
Merkez Ekip,EFT,2024-01-15,13,21
İstanbul Ekip,EFT,2024-01-15,13,11
Ankara Ekip,EFT,2024-01-15,13,10
Merkez Ekip,EFT,2024-01-15,14,8
İstanbul Ekip,EFT,2024-01-15,14,12
Ankara Ekip,EFT,2024-01-15,14,4
Merkez Ekip,EFT,2024-01-15,15,20
İstanbul Ekip,EFT,2024-01-15,15,12
Ankara Ekip,EFT,2024-01-15,15,8
Merkez Ekip,EFT,2024-01-15,16,9
İstanbul Ekip,EFT,2024-01-15,16,11
Ankara Ekip,EFT,2024-01-15,16,5
Merkez Ekip,EFT,2024-01-15,17,21
İstanbul Ekip,EFT,2024-01-15,17,17
Ankara Ekip,EFT,2024-01-15,17,5
Merkez Ekip,EFT,2024-01-15,18,3
İstanbul Ekip,EFT,2024-01-15,18,1
Merkez Ekip,EFT,2024-01-15,19,1
İstanbul Ekip,EFT,2024-01-15,19,1
Ankara Ekip,EFT,2024-01-15,21,1
Merkez Ekip,EFT,2024-01-15,22,3
İstanbul Ekip,EFT,2024-01-15,22,4
Ankara Ekip,EFT,2024-01-15,22,1
Merkez Ekip,EFT,2024-01-16,1,1
Merkez Ekip,EFT,2024-01-16,6,2
Ankara Ekip,EFT,2024-01-16,6,1
Merkez Ekip,EFT,2024-01-16,7,13
İstanbul Ekip,EFT,2024-01-16,7,7
Ankara Ekip,EFT,2024-01-16,7,2
Merkez Ekip,EFT,2024-01-16,8,5
İstanbul Ekip,EFT,2024-01-16,8,5
Ankara Ekip,EFT,2024-01-16,8,1
Merkez Ekip,EFT,2024-01-16,9,6
İstanbul Ekip,EFT,2024-01-16,9,1
Ankara Ekip,EFT,2024-01-16,9,3
Merkez Ekip,EFT,2024-01-16,10,9
İstanbul Ekip,EFT,2024-01-16,10,11
Ankara Ekip,EFT,2024-01-16,10,3
Merkez Ekip,EFT,2024-01-16,11,6
İstanbul Ekip,EFT,2024-01-16,11,2
Ankara Ekip,EFT,2024-01-16,11,1
Merkez Ekip,EFT,2024-01-16,12,11
İstanbul Ekip,EFT,2024-01-16,12,8
Ankara Ekip,EFT,2024-01-16,12,2
İstanbul Ekip,EFT,2024-01-16,13,2
Merkez Ekip,EFT,2024-01-16,14,9
İstanbul Ekip,EFT,2024-01-16,14,8
Ankara Ekip,EFT,2024-01-16,14,5
Merkez Ekip,EFT,2024-01-16,16,3
Ankara Ekip,EFT,2024-01-16,16,1
Ankara Ekip,EFT,2024-01-16,17,1
Merkez Ekip,EFT,2024-01-16,19,3
İstanbul Ekip,EFT,2024-01-16,19,2
Merkez Ekip,EFT,2024-01-16,20,1
İstanbul Ekip,EFT,2024-01-16,20,1
Merkez Ekip,EFT,2024-01-16,23,6
İstanbul Ekip,EFT,2024-01-16,23,2
Ankara Ekip,EFT,2024-01-16,23,3
Merkez Ekip,EFT,2024-01-17,0,14
İstanbul Ekip,EFT,2024-01-17,0,10
Ankara Ekip,EFT,2024-01-17,0,7
Merkez Ekip,EFT,2024-01-17,5,2
İstanbul Ekip,EFT,2024-01-17,5,2
Ankara Ekip,EFT,2024-01-17,5,3
Merkez Ekip,EFT,2024-01-17,6,7
İstanbul Ekip,EFT,2024-01-17,6,4
Ankara Ekip,EFT,2024-01-17,6,1
Merkez Ekip,EFT,2024-01-17,7,14
İstanbul Ekip,EFT,2024-01-17,7,9
Ankara Ekip,EFT,2024-01-17,7,4
Merkez Ekip,EFT,2024-01-17,8,4
İstanbul Ekip,EFT,2024-01-17,8,4
Ankara Ekip,EFT,2024-01-17,8,3
Merkez Ekip,EFT,2024-01-17,9,3
İstanbul Ekip,EFT,2024-01-17,9,2
Ankara Ekip,EFT,2024-01-17,9,1
Merkez Ekip,EFT,2024-01-17,10,7
İstanbul Ekip,EFT,2024-01-17,10,6
Ankara Ekip,EFT,2024-01-17,10,1
Merkez Ekip,EFT,2024-01-17,11,3
İstanbul Ekip,EFT,2024-01-17,11,3
Ankara Ekip,EFT,2024-01-17,11,2
Merkez Ekip,EFT,2024-01-17,12,3
İstanbul Ekip,EFT,2024-01-17,12,1
Ankara Ekip,EFT,2024-01-17,12,2
Merkez Ekip,EFT,2024-01-17,13,7
İstanbul Ekip,EFT,2024-01-17,13,3
Ankara Ekip,EFT,2024-01-17,13,1
Merkez Ekip,EFT,2024-01-17,14,7
İstanbul Ekip,EFT,2024-01-17,14,10
Ankara Ekip,EFT,2024-01-17,14,6
Merkez Ekip,EFT,2024-01-17,15,4
İstanbul Ekip,EFT,2024-01-17,15,2
Ankara Ekip,EFT,2024-01-17,15,4
Merkez Ekip,EFT,2024-01-17,16,1
İstanbul Ekip,EFT,2024-01-17,16,5
Merkez Ekip,EFT,2024-01-17,17,8
İstanbul Ekip,EFT,2024-01-17,17,7
Merkez Ekip,EFT,2024-01-17,18,3
Merkez Ekip,EFT,2024-01-17,20,1
Merkez Ekip,EFT,2024-01-17,23,1
İstanbul Ekip,EFT,2024-01-18,4,3
Ankara Ekip,EFT,2024-01-18,4,1
Merkez Ekip,EFT,2024-01-18,6,3
İstanbul Ekip,EFT,2024-01-18,6,3
Ankara Ekip,EFT,2024-01-18,6,2
Merkez Ekip,EFT,2024-01-18,7,12
İstanbul Ekip,EFT,2024-01-18,7,9
Ankara Ekip,EFT,2024-01-18,7,2
Merkez Ekip,EFT,2024-01-18,8,2
İstanbul Ekip,EFT,2024-01-18,8,7
Ankara Ekip,EFT,2024-01-18,8,2
Merkez Ekip,EFT,2024-01-18,9,20
İstanbul Ekip,EFT,2024-01-18,9,8
Ankara Ekip,EFT,2024-01-18,9,10
Merkez Ekip,EFT,2024-01-18,10,7
İstanbul Ekip,EFT,2024-01-18,10,1
Ankara Ekip,EFT,2024-01-18,10,3
Merkez Ekip,EFT,2024-01-18,11,17
İstanbul Ekip,EFT,2024-01-18,11,5
Ankara Ekip,EFT,2024-01-18,11,8
Merkez Ekip,EFT,2024-01-18,12,8
İstanbul Ekip,EFT,2024-01-18,12,5
Ankara Ekip,EFT,2024-01-18,12,3
Merkez Ekip,EFT,2024-01-18,13,23
İstanbul Ekip,EFT,2024-01-18,13,19
Ankara Ekip,EFT,2024-01-18,13,5
Merkez Ekip,EFT,2024-01-18,14,3
İstanbul Ekip,EFT,2024-01-18,14,2
Ankara Ekip,EFT,2024-01-18,14,1
Merkez Ekip,EFT,2024-01-18,15,8
İstanbul Ekip,EFT,2024-01-18,15,10
Ankara Ekip,EFT,2024-01-18,15,4
Ankara Ekip,EFT,2024-01-18,16,1
Merkez Ekip,EFT,2024-01-18,17,5
İstanbul Ekip,EFT,2024-01-18,17,2
Merkez Ekip,EFT,2024-01-19,4,2
İstanbul Ekip,EFT,2024-01-19,4,1
Ankara Ekip,EFT,2024-01-19,4,2
Merkez Ekip,EFT,2024-01-19,7,2
İstanbul Ekip,EFT,2024-01-19,7,4
Ankara Ekip,EFT,2024-01-19,7,2
Merkez Ekip,EFT,2024-01-19,8,11
İstanbul Ekip,EFT,2024-01-19,8,8
Ankara Ekip,EFT,2024-01-19,8,2
Merkez Ekip,EFT,2024-01-19,9,10
İstanbul Ekip,EFT,2024-01-19,9,9
Ankara Ekip,EFT,2024-01-19,9,6
Merkez Ekip,EFT,2024-01-19,10,4
İstanbul Ekip,EFT,2024-01-19,10,3
Ankara Ekip,EFT,2024-01-19,10,1
Merkez Ekip,EFT,2024-01-19,11,13
İstanbul Ekip,EFT,2024-01-19,11,12
Ankara Ekip,EFT,2024-01-19,11,4
Merkez Ekip,EFT,2024-01-19,12,8
İstanbul Ekip,EFT,2024-01-19,12,2
Ankara Ekip,EFT,2024-01-19,12,5
Merkez Ekip,EFT,2024-01-19,13,11
İstanbul Ekip,EFT,2024-01-19,13,2
Ankara Ekip,EFT,2024-01-19,13,1
Merkez Ekip,EFT,2024-01-19,14,5
İstanbul Ekip,EFT,2024-01-19,14,5
Ankara Ekip,EFT,2024-01-19,14,4
Merkez Ekip,EFT,2024-01-19,15,1
İstanbul Ekip,EFT,2024-01-19,15,6
Ankara Ekip,EFT,2024-01-19,15,1
Merkez Ekip,EFT,2024-01-19,16,2
İstanbul Ekip,EFT,2024-01-19,16,3
Ankara Ekip,EFT,2024-01-19,16,1
Merkez Ekip,EFT,2024-01-19,17,3
İstanbul Ekip,EFT,2024-01-19,17,4
Merkez Ekip,EFT,2024-01-19,18,1
Merkez Ekip,EFT,2024-01-19,20,1
İstanbul Ekip,EFT,2024-01-19,22,1
İstanbul Ekip,EFT,2024-01-22,4,1
Merkez Ekip,EFT,2024-01-22,7,6
İstanbul Ekip,EFT,2024-01-22,7,3
Merkez Ekip,EFT,2024-01-22,8,17
İstanbul Ekip,EFT,2024-01-22,8,21
Ankara Ekip,EFT,2024-01-22,8,14
Merkez Ekip,EFT,2024-01-22,9,22
İstanbul Ekip,EFT,2024-01-22,9,8
Ankara Ekip,EFT,2024-01-22,9,7
Merkez Ekip,EFT,2024-01-22,10,11
İstanbul Ekip,EFT,2024-01-22,10,10
