islem_tipi,tarih,saat,islem_hacmi
EFT,2025-07-10,15,382
EFT,2025-07-10,16,244
EFT,2025-07-10,17,415
EFT,2025-07-10,18,112
EFT,2025-07-11,8,161
EFT,2025-07-11,9,129
EFT,2025-07-11,10,141
EFT,2025-07-11,11,145
EFT,2025-07-11,12,338
EFT,2025-07-11,13,224
EFT,2025-07-11,14,381
EFT,2025-07-11,15,351
EFT,2025-07-11,16,191
EFT,2025-07-11,17,392
EFT,2025-07-11,18,176
EFT,2025-07-14,8,50
EFT,2025-07-14,9,134
EFT,2025-07-14,10,170
EFT,2025-07-14,11,157
EFT,2025-07-14,12,153
EFT,2025-07-14,13,220
EFT,2025-07-14,14,205
EFT,2025-07-14,15,387
EFT,2025-07-14,16,395
EFT,2025-07-14,17,229
EFT,2025-07-14,18,185
EFT,2025-07-15,8,59
EFT,2025-07-15,9,140
EFT,2025-07-15,10,190
EFT,2025-07-15,11,167
EFT,2025-07-15,12,253
EFT,2025-07-15,13,184
EFT,2025-07-15,14,337
EFT,2025-07-15,15,355
EFT,2025-07-15,16,194
EFT,2025-07-15,17,307
EFT,2025-07-15,18,188
EFT,2025-07-16,8,169
EFT,2025-07-16,9,136
EFT,2025-07-16,10,291
EFT,2025-07-16,11,132
EFT,2025-07-16,12,157
EFT,2025-07-16,13,254
EFT,2025-07-16,14,331
EFT,2025-07-16,15,385
EFT,2025-07-16,16,391
EFT,2025-07-16,17,239
EFT,2025-07-16,18,91
EFT,2025-07-17,8,157
EFT,2025-07-17,9,110
EFT,2025-07-17,10,326
EFT,2025-07-17,11,147
EFT,2025-07-17,12,122
EFT,2025-07-17,13,244
EFT,2025-07-17,14,198
EFT,2025-07-17,15,411
EFT,2025-07-17,16,597
EFT,2025-07-17,17,347
EFT,2025-07-17,18,128
EFT,2025-07-18,8,160
EFT,2025-07-18,9,254
EFT,2025-07-18,10,186
EFT,2025-07-18,11,280
EFT,2025-07-18,12,182
EFT,2025-07-18,13,171
EFT,2025-07-18,14,530
EFT,2025-07-18,15,434
EFT,2025-07-18,16,553
EFT,2025-07-18,17,457
EFT,2025-07-18,18,119
EFT,2025-07-21,8,88
EFT,2025-07-21,9,136
EFT,2025-07-21,10,180
EFT,2025-07-21,11,310
EFT,2025-07-21,12,129
EFT,2025-07-21,13,265
EFT,2025-07-21,14,246
EFT,2025-07-21,15,270
EFT,2025-07-21,16,248
EFT,2025-07-21,17,187
EFT,2025-07-21,18,145
EFT,2025-07-22,8,115
EFT,2025-07-22,9,88
EFT,2025-07-22,10,298
EFT,2025-07-22,11,262
EFT,2025-07-22,12,181
EFT,2025-07-22,13,125
EFT,2025-07-22,14,277
EFT,2025-07-22,15,333
EFT,2025-07-22,16,265
EFT,2025-07-22,17,527
EFT,2025-07-22,18,83
EFT,2025-07-23,8,111
EFT,2025-07-23,9,108
EFT,2025-07-23,10,184
EFT,2025-07-23,11,294
EFT,2025-07-23,12,115
EFT,2025-07-23,13,117
EFT,2025-07-23,14,154
EFT,2025-07-23,15,442
EFT,2025-07-23,16,216
EFT,2025-07-23,17,381
EFT,2025-07-23,18,166
EFT,2025-07-24,8,76
EFT,2025-07-24,9,181
EFT,2025-07-24,10,181
EFT,2025-07-24,11,166
EFT,2025-07-24,12,88
EFT,2025-07-24,13,255
EFT,2025-07-24,14,201
EFT,2025-07-24,15,331
EFT,2025-07-24,16,566
EFT,2025-07-24,17,273
EFT,2025-07-24,18,78
EFT,2025-07-25,8,113
EFT,2025-07-25,9,145
EFT,2025-07-25,10,239
EFT,2025-07-25,11,312
EFT,2025-07-25,12,189
EFT,2025-07-25,13,308
EFT,2025-07-25,14,419
EFT,2025-07-25,15,580
EFT,2025-07-25,16,647
EFT,2025-07-25,17,580
EFT,2025-07-25,18,102
EFT,2025-07-28,8,112
EFT,2025-07-28,9,189
EFT,2025-07-28,10,147
EFT,2025-07-28,11,321
EFT,2025-07-28,12,146
EFT,2025-07-28,13,278
EFT,2025-07-28,14,183
EFT,2025-07-28,15,263
EFT,2025-07-28,16,656
EFT,2025-07-28,17,180
EFT,2025-07-28,18,120
EFT,2025-07-29,8,206
EFT,2025-07-29,9,202
EFT,2025-07-29,10,452
EFT,2025-07-29,11,157
EFT,2025-07-29,12,294
EFT,2025-07-29,13,296
EFT,2025-07-29,14,445
EFT,2025-07-29,15,249
EFT,2025-07-29,16,551
EFT,2025-07-29,17,219
EFT,2025-07-29,18,211
EFT,2025-07-30,8,182
EFT,2025-07-30,9,346
EFT,2025-07-30,10,261
EFT,2025-07-30,11,304
EFT,2025-07-30,12,335
EFT,2025-07-30,13,385
EFT,2025-07-30,14,402
EFT,2025-07-30,15,279
EFT,2025-07-30,16,568
EFT,2025-07-30,17,528
EFT,2025-07-30,18,165
EFT,2025-07-31,8,114
EFT,2025-07-31,9,157
EFT,2025-07-31,10,369
EFT,2025-07-31,11,442
EFT,2025-07-31,12,379
EFT,2025-07-31,13,287
EFT,2025-07-31,14,466
EFT,2025-07-31,15,323
EFT,2025-07-31,16,601
EFT,2025-07-31,17,272
EFT,2025-07-31,18,229
EFT,2025-08-01,8,126
EFT,2025-08-01,9,264
EFT,2025-08-01,10,214
EFT,2025-08-01,11,141
EFT,2025-08-01,12,336
EFT,2025-08-01,13,363
EFT,2025-08-01,14,429
EFT,2025-08-01,15,432
EFT,2025-08-01,16,225
EFT,2025-08-01,17,175
EFT,2025-08-01,18,233
EFT,2025-08-04,8,99
EFT,2025-08-04,9,134
EFT,2025-08-04,10,218
EFT,2025-08-04,11,330
EFT,2025-08-04,12,245
EFT,2025-08-04,13,199
EFT,2025-08-04,14,125
EFT,2025-08-04,15,300
EFT,2025-08-04,16,214
EFT,2025-08-04,17,486
EFT,2025-08-04,18,153
EFT,2025-08-05,8,89
EFT,2025-08-05,9,106
EFT,2025-08-05,10,268
EFT,2025-08-05,11,182
EFT,2025-08-05,12,273
EFT,2025-08-05,13,177
EFT,2025-08-05,14,320
EFT,2025-08-05,15,456
EFT,2025-08-05,16,347
EFT,2025-08-05,17,154
EFT,2025-08-05,18,158
EFT,2025-08-06,8,86
EFT,2025-08-06,9,181
EFT,2025-08-06,10,144
EFT,2025-08-06,11,114
EFT,2025-08-06,12,132
EFT,2025-08-06,13,301
EFT,2025-08-06,14,290
EFT,2025-08-06,15,330
EFT,2025-08-06,16,415
EFT,2025-08-06,17,331
EFT,2025-08-06,18,96
EFT,2025-08-07,8,142
EFT,2025-08-07,9,222
EFT,2025-08-07,10,231
EFT,2025-08-07,11,128
EFT,2025-08-07,12,147
EFT,2025-08-07,13,277
EFT,2025-08-07,14,153
EFT,2025-08-07,15,218
EFT,2025-08-07,16,356
EFT,2025-08-07,17,145
EFT,2025-08-07,18,193
EFT,2025-08-08,8,158
EFT,2025-08-08,9,198
EFT,2025-08-08,10,213
EFT,2025-08-08,11,352
EFT,2025-08-08,12,298
EFT,2025-08-08,13,202
EFT,2025-08-08,14,423
EFT,2025-08-08,15,406
EFT,2025-08-08,16,497
EFT,2025-08-08,17,655
EFT,2025-08-08,18,280
EFT,2025-08-11,8,125
EFT,2025-08-11,9,87
EFT,2025-08-11,10,159
EFT,2025-08-11,11,328
EFT,2025-08-11,12,244
EFT,2025-08-11,13,150
EFT,2025-08-11,14,339
EFT,2025-08-11,15,422
EFT,2025-08-11,16,193
EFT,2025-08-11,17,121
EFT,2025-08-11,18,60
EFT,2025-08-12,8,91
EFT,2025-08-12,9,169
EFT,2025-08-12,10,270
EFT,2025-08-12,11,174
EFT,2025-08-12,12,156
EFT,2025-08-12,13,384
EFT,2025-08-12,14,182
EFT,2025-08-12,15,314
EFT,2025-08-12,16,196
EFT,2025-08-12,17,307
EFT,2025-08-12,18,134
EFT,2025-08-13,8,177
EFT,2025-08-13,9,115
EFT,2025-08-13,10,286
EFT,2025-08-13,11,199
EFT,2025-08-13,12,97
EFT,2025-08-13,13,280
EFT,2025-08-13,14,161
EFT,2025-08-13,15,298
EFT,2025-08-13,16,315
EFT,2025-08-13,17,492
EFT,2025-08-13,18,157
EFT,2025-08-14,8,135
EFT,2025-08-14,9,84
EFT,2025-08-14,10,311
EFT,2025-08-14,11,344
EFT,2025-08-14,12,124
EFT,2025-08-14,13,248
EFT,2025-08-14,14,400
EFT,2025-08-14,15,239
EFT,2025-08-14,16,358
EFT,2025-08-14,17,330
EFT,2025-08-14,18,203
EFT,2025-08-15,8,94
EFT,2025-08-15,9,182
EFT,2025-08-15,10,163
EFT,2025-08-15,11,336
EFT,2025-08-15,12,225
EFT,2025-08-15,13,371
EFT,2025-08-15,14,147
EFT,2025-08-15,15,652
EFT,2025-08-15,16,520
EFT,2025-08-15,17,406
EFT,2025-08-15,18,200
EFT,2025-08-18,8,142
EFT,2025-08-18,9,212
EFT,2025-08-18,10,224
EFT,2025-08-18,11,183
EFT,2025-08-18,12,119
EFT,2025-08-18,13,119
EFT,2025-08-18,14,144
EFT,2025-08-18,15,179
EFT,2025-08-18,16,370
EFT,2025-08-18,17,241
EFT,2025-08-18,18,69
EFT,2025-08-19,8,55
EFT,2025-08-19,9,196
EFT,2025-08-19,10,245
EFT,2025-08-19,11,155
EFT,2025-08-19,12,160
EFT,2025-08-19,13,248
EFT,2025-08-19,14,474
EFT,2025-08-19,15,247
EFT,2025-08-19,16,267
EFT,2025-08-19,17,309
EFT,2025-08-19,18,209
EFT,2025-08-20,8,68
EFT,2025-08-20,9,205
EFT,2025-08-20,10,297
EFT,2025-08-20,11,220
EFT,2025-08-20,12,85
EFT,2025-08-20,13,90
EFT,2025-08-20,14,452
EFT,2025-08-20,15,255
EFT,2025-08-20,16,456
EFT,2025-08-20,17,237
EFT,2025-08-20,18,80
EFT,2025-08-21,8,154
EFT,2025-08-21,9,206
EFT,2025-08-21,10,152
EFT,2025-08-21,11,119
EFT,2025-08-21,12,85
EFT,2025-08-21,13,346
EFT,2025-08-21,14,364
EFT,2025-08-21,15,249
EFT,2025-08-21,16,222
EFT,2025-08-21,17,215
EFT,2025-08-21,18,174
EFT,2025-08-22,8,174
EFT,2025-08-22,9,216
EFT,2025-08-22,10,238
EFT,2025-08-22,11,440
EFT,2025-08-22,12,295
EFT,2025-08-22,13,282
EFT,2025-08-22,14,231
EFT,2025-08-22,15,528
EFT,2025-08-22,16,516
EFT,2025-08-22,17,235
EFT,2025-08-22,18,222
EFT,2025-08-25,8,84
EFT,2025-08-25,9,118
EFT,2025-08-25,10,237
EFT,2025-08-25,11,169
EFT,2025-08-25,12,166
EFT,2025-08-25,13,203
EFT,2025-08-25,14,276
EFT,2025-08-25,15,167
EFT,2025-08-25,16,342
EFT,2025-08-25,17,129
EFT,2025-08-25,18,128
EFT,2025-08-26,8,66
EFT,2025-08-26,9,156
EFT,2025-08-26,10,212
EFT,2025-08-26,11,208
EFT,2025-08-26,12,234
EFT,2025-08-26,13,125
EFT,2025-08-26,14,264
EFT,2025-08-26,15,404
EFT,2025-08-26,16,452
EFT,2025-08-26,17,220
EFT,2025-08-26,18,182
EFT,2025-08-27,8,72
EFT,2025-08-27,9,275
EFT,2025-08-27,10,302
EFT,2025-08-27,11,126
EFT,2025-08-27,12,105
EFT,2025-08-27,13,112
EFT,2025-08-27,14,232
EFT,2025-08-27,15,307
EFT,2025-08-27,16,223
EFT,2025-08-27,17,350
EFT,2025-08-27,18,214
EFT,2025-08-28,8,66
EFT,2025-08-28,9,234
EFT,2025-08-28,10,243
EFT,2025-08-28,11,304
EFT,2025-08-28,12,316
EFT,2025-08-28,13,222
EFT,2025-08-28,14,300
EFT,2025-08-28,15,221
EFT,2025-08-28,16,599
EFT,2025-08-28,17,521
EFT,2025-08-28,18,187
EFT,2025-08-29,8,209
EFT,2025-08-29,9,386
EFT,2025-08-29,10,184
EFT,2025-08-29,11,412
EFT,2025-08-29,12,319
EFT,2025-08-29,13,533
EFT,2025-08-29,14,447
EFT,2025-08-29,15,407
EFT,2025-08-29,16,260
EFT,2025-08-29,17,614
EFT,2025-08-29,18,220
EFT,2025-09-01,8,102
EFT,2025-09-01,9,216
EFT,2025-09-01,10,212
EFT,2025-09-01,11,351
EFT,2025-09-01,12,138
EFT,2025-09-01,13,137
EFT,2025-09-01,14,135
EFT,2025-09-01,15,155
EFT,2025-09-01,16,307
EFT,2025-09-01,17,152
EFT,2025-09-01,18,107
EFT,2025-09-02,8,120
EFT,2025-09-02,9,82
EFT,2025-09-02,10,235
EFT,2025-09-02,11,211
EFT,2025-09-02,12,268
EFT,2025-09-02,13,304
EFT,2025-09-02,14,344
EFT,2025-09-02,15,289
EFT,2025-09-02,16,515
EFT,2025-09-02,17,220
EFT,2025-09-02,18,97
EFT,2025-09-03,8,169
EFT,2025-09-03,9,194
EFT,2025-09-03,10,172
EFT,2025-09-03,11,169
EFT,2025-09-03,12,317
EFT,2025-09-03,13,294
EFT,2025-09-03,14,359
EFT,2025-09-03,15,454
EFT,2025-09-03,16,167
EFT,2025-09-03,17,263
EFT,2025-09-03,18,121
EFT,2025-09-04,8,145
EFT,2025-09-04,9,157
EFT,2025-09-04,10,211
EFT,2025-09-04,11,123
EFT,2025-09-04,12,190
EFT,2025-09-04,13,159
EFT,2025-09-04,14,340
EFT,2025-09-04,15,505
EFT,2025-09-04,16,491
EFT,2025-09-04,17,236
EFT,2025-09-04,18,153
EFT,2025-09-05,8,146
EFT,2025-09-05,9,116
EFT,2025-09-05,10,186
EFT,2025-09-05,11,305
EFT,2025-09-05,12,234
EFT,2025-09-05,13,305
EFT,2025-09-05,14,347
EFT,2025-09-05,15,500
EFT,2025-09-05,16,463
EFT,2025-09-05,17,476
EFT,2025-09-05,18,184
EFT,2025-09-08,8,143
EFT,2025-09-08,9,150
EFT,2025-09-08,10,361
EFT,2025-09-08,11,114
EFT,2025-09-08,12,126
EFT,2025-09-08,13,336
EFT,2025-09-08,14,327
EFT,2025-09-08,15,374
EFT,2025-09-08,16,290
EFT,2025-09-08,17,477
EFT,2025-09-08,18,177
EFT,2025-09-09,8,92
EFT,2025-09-09,9,247
EFT,2025-09-09,10,107
EFT,2025-09-09,11,182
EFT,2025-09-09,12,315
EFT,2025-09-09,13,184
EFT,2025-09-09,14,300
EFT,2025-09-09,15,554
EFT,2025-09-09,16,365
EFT,2025-09-09,17,219
EFT,2025-09-09,18,61
EFT,2025-09-10,8,182
EFT,2025-09-10,9,202
EFT,2025-09-10,10,236
EFT,2025-09-10,11,131
EFT,2025-09-10,12,209
EFT,2025-09-10,13,312
EFT,2025-09-10,14,212
EFT,2025-09-10,15,415
EFT,2025-09-10,16,270
EFT,2025-09-10,17,370
EFT,2025-09-10,18,145
EFT,2025-09-11,8,148
EFT,2025-09-11,9,139
EFT,2025-09-11,10,135
EFT,2025-09-11,11,324
EFT,2025-09-11,12,142
EFT,2025-09-11,13,240
EFT,2025-09-11,14,421
EFT,2025-09-11,15,332
EFT,2025-09-11,16,317
EFT,2025-09-11,17,239
EFT,2025-09-11,18,201
EFT,2025-09-12,8,170
EFT,2025-09-12,9,124
EFT,2025-09-12,10,210
EFT,2025-09-12,11,133
EFT,2025-09-12,12,323
EFT,2025-09-12,13,164
EFT,2025-09-12,14,630
EFT,2025-09-12,15,582
EFT,2025-09-12,16,609
EFT,2025-09-12,17,659
EFT,2025-09-12,18,143
EFT,2025-09-15,8,81
EFT,2025-09-15,9,192
EFT,2025-09-15,10,241
EFT,2025-09-15,11,194
EFT,2025-09-15,12,202
EFT,2025-09-15,13,115
EFT,2025-09-15,14,158
EFT,2025-09-15,15,351
EFT,2025-09-15,16,347
EFT,2025-09-15,17,331
EFT,2025-09-15,18,169
EFT,2025-09-16,8,157
EFT,2025-09-16,9,205
EFT,2025-09-16,10,283
EFT,2025-09-16,11,348
EFT,2025-09-16,12,198
EFT,2025-09-16,13,154
EFT,2025-09-16,14,154
EFT,2025-09-16,15,234
EFT,2025-09-16,16,513
EFT,2025-09-16,17,466
EFT,2025-09-16,18,140
EFT,2025-09-17,8,115
EFT,2025-09-17,9,80
EFT,2025-09-17,10,193
EFT,2025-09-17,11,223
EFT,2025-09-17,12,166
EFT,2025-09-17,13,234
EFT,2025-09-17,14,244
EFT,2025-09-17,15,464
EFT,2025-09-17,16,444
EFT,2025-09-17,17,419
EFT,2025-09-17,18,84
EFT,2025-09-18,8,87
EFT,2025-09-18,9,258
EFT,2025-09-18,10,282
EFT,2025-09-18,11,269
EFT,2025-09-18,12,208
EFT,2025-09-18,13,353
EFT,2025-09-18,14,374
EFT,2025-09-18,15,232
EFT,2025-09-18,16,328
EFT,2025-09-18,17,224
EFT,2025-09-18,18,79
EFT,2025-09-19,8,79
EFT,2025-09-19,9,96
EFT,2025-09-19,10,459
EFT,2025-09-19,11,302
EFT,2025-09-19,12,231
EFT,2025-09-19,13,177
EFT,2025-09-19,14,362
EFT,2025-09-19,15,572
EFT,2025-09-19,16,417
EFT,2025-09-19,17,292
EFT,2025-09-19,18,205
EFT,2025-09-22,8,126
EFT,2025-09-22,9,180
EFT,2025-09-22,10,158
EFT,2025-09-22,11,200
EFT,2025-09-22,12,305
EFT,2025-09-22,13,215
EFT,2025-09-22,14,232
EFT,2025-09-22,15,148
EFT,2025-09-22,16,318
EFT,2025-09-22,17,236
EFT,2025-09-22,18,73
EFT,2025-09-23,8,91
EFT,2025-09-23,9,122
EFT,2025-09-23,10,148
EFT,2025-09-23,11,256
EFT,2025-09-23,12,329
EFT,2025-09-23,13,111
EFT,2025-09-23,14,348
EFT,2025-09-23,15,480
EFT,2025-09-23,16,295
EFT,2025-09-23,17,352
EFT,2025-09-23,18,170
EFT,2025-09-24,8,168
EFT,2025-09-24,9,105
EFT,2025-09-24,10,208
EFT,2025-09-24,11,137
EFT,2025-09-24,12,177
EFT,2025-09-24,13,233
EFT,2025-09-24,14,230
EFT,2025-09-24,15,418
EFT,2025-09-24,16,322
EFT,2025-09-24,17,344
EFT,2025-09-24,18,83
EFT,2025-09-25,8,163
EFT,2025-09-25,9,266
EFT,2025-09-25,10,248
EFT,2025-09-25,11,321
EFT,2025-09-25,12,298
EFT,2025-09-25,13,151
EFT,2025-09-25,14,244
EFT,2025-09-25,15,273
EFT,2025-09-25,16,444
EFT,2025-09-25,17,425
EFT,2025-09-25,18,161
EFT,2025-09-26,8,172
EFT,2025-09-26,9,226
EFT,2025-09-26,10,307
EFT,2025-09-26,11,240
EFT,2025-09-26,12,315
EFT,2025-09-26,13,238
